"Data for weekly deaths (occurrences), by Health Board and location, 2015-2019",,,,,,,,,
,,,,,,,,,
week of occurrence,health board,location,year,number of deaths,,,,,
02,Dumfries and Galloway,Home / Non-institution,2015,13,,,,,
02,Dumfries and Galloway,Hospital,2015,27,,,,,
02,Fife,Care Home,2015,29,,,,,
02,Fife,Home / Non-institution,2015,31,,,,,
02,Fife,Hospital,2015,59,,,,,
02,Forth Valley,Care Home,2015,17,,,,,
02,Forth Valley,Home / Non-institution,2015,14,,,,,
02,Forth Valley,Hospital,2015,36,,,,,
02,Grampian,Care Home,2015,49,,,,,
02,Grampian,Home / Non-institution,2015,36,,,,,
02,Grampian,Hospital,2015,61,,,,,
02,Greater Glasgow and Clyde,Care Home,2015,77,,,,,
02,Greater Glasgow and Clyde,Home / Non-institution,2015,64,,,,,
02,Greater Glasgow and Clyde,Hospital,2015,160,,,,,
02,Greater Glasgow and Clyde,Other institution,2015,1,,,,,
02,Highland,Care Home,2015,16,,,,,
02,Highland,Home / Non-institution,2015,21,,,,,
02,Highland,Hospital,2015,35,,,,,
02,Lanarkshire,Care Home,2015,45,,,,,
02,Lanarkshire,Home / Non-institution,2015,34,,,,,
02,Lanarkshire,Hospital,2015,60,,,,,
02,Lanarkshire,Other institution,2015,2,,,,,
02,Lothian,Care Home,2015,69,,,,,
02,Lothian,Home / Non-institution,2015,35,,,,,
02,Lothian,Hospital,2015,98,,,,,
02,Orkney,Care Home,2015,1,,,,,
02,Orkney,Hospital,2015,2,,,,,
02,Shetland,Care Home,2015,5,,,,,
02,Shetland,Home / Non-institution,2015,1,,,,,
02,Shetland,Hospital,2015,4,,,,,
02,Tayside,Care Home,2015,31,,,,,
02,Tayside,Home / Non-institution,2015,39,,,,,
02,Tayside,Hospital,2015,54,,,,,
02,Western Isles,Care Home,2015,4,,,,,
02,Western Isles,Home / Non-institution,2015,1,,,,,
02,Western Isles,Hospital,2015,3,,,,,
03,Ayrshire and Arran,Care Home,2015,22,,,,,
03,Ayrshire and Arran,Home / Non-institution,2015,37,,,,,
03,Ayrshire and Arran,Hospital,2015,47,,,,,
03,Borders,Care Home,2015,5,,,,,
03,Borders,Home / Non-institution,2015,8,,,,,
03,Borders,Hospital,2015,22,,,,,
03,Borders,Other institution,2015,1,,,,,
03,Dumfries and Galloway,Care Home,2015,9,,,,,
03,Dumfries and Galloway,Home / Non-institution,2015,5,,,,,
03,Dumfries and Galloway,Hospital,2015,29,,,,,
03,Fife,Care Home,2015,24,,,,,
03,Fife,Home / Non-institution,2015,14,,,,,
03,Fife,Hospital,2015,48,,,,,
03,Forth Valley,Care Home,2015,26,,,,,
03,Forth Valley,Home / Non-institution,2015,15,,,,,
03,Forth Valley,Hospital,2015,45,,,,,
03,Grampian,Care Home,2015,53,,,,,
03,Grampian,Home / Non-institution,2015,34,,,,,
03,Grampian,Hospital,2015,91,,,,,
03,Grampian,Other institution,2015,1,,,,,
03,Greater Glasgow and Clyde,Care Home,2015,72,,,,,
03,Greater Glasgow and Clyde,Home / Non-institution,2015,69,,,,,
03,Greater Glasgow and Clyde,Hospital,2015,169,,,,,
03,Highland,Care Home,2015,21,,,,,
03,Highland,Home / Non-institution,2015,21,,,,,
03,Highland,Hospital,2015,35,,,,,
03,Lanarkshire,Care Home,2015,32,,,,,
03,Lanarkshire,Home / Non-institution,2015,46,,,,,
03,Lanarkshire,Hospital,2015,103,,,,,
03,Lanarkshire,Other institution,2015,1,,,,,
03,Lothian,Care Home,2015,48,,,,,
03,Lothian,Home / Non-institution,2015,26,,,,,
03,Lothian,Hospital,2015,103,,,,,
03,Orkney,Care Home,2015,1,,,,,
03,Orkney,Hospital,2015,4,,,,,
03,Shetland,Home / Non-institution,2015,2,,,,,
03,Shetland,Hospital,2015,1,,,,,
03,Tayside,Care Home,2015,23,,,,,
03,Tayside,Home / Non-institution,2015,27,,,,,
03,Tayside,Hospital,2015,63,,,,,
03,Western Isles,Care Home,2015,2,,,,,
03,Western Isles,Home / Non-institution,2015,2,,,,,
03,Western Isles,Hospital,2015,4,,,,,
04,Ayrshire and Arran,Care Home,2015,31,,,,,
04,Ayrshire and Arran,Home / Non-institution,2015,19,,,,,
04,Ayrshire and Arran,Hospital,2015,66,,,,,
04,Ayrshire and Arran,Other institution,2015,1,,,,,
04,Borders,Care Home,2015,5,,,,,
04,Borders,Home / Non-institution,2015,6,,,,,
04,Borders,Hospital,2015,18,,,,,
04,Dumfries and Galloway,Care Home,2015,14,,,,,
04,Dumfries and Galloway,Home / Non-institution,2015,11,,,,,
04,Dumfries and Galloway,Hospital,2015,33,,,,,
04,Fife,Care Home,2015,20,,,,,
04,Fife,Home / Non-institution,2015,10,,,,,
04,Fife,Hospital,2015,56,,,,,
04,Forth Valley,Care Home,2015,14,,,,,
04,Forth Valley,Home / Non-institution,2015,9,,,,,
04,Forth Valley,Hospital,2015,46,,,,,
04,Forth Valley,Other institution,2015,1,,,,,
04,Grampian,Care Home,2015,41,,,,,
04,Grampian,Home / Non-institution,2015,27,,,,,
04,Grampian,Hospital,2015,67,,,,,
04,Greater Glasgow and Clyde,Care Home,2015,69,,,,,
04,Greater Glasgow and Clyde,Home / Non-institution,2015,74,,,,,
04,Greater Glasgow and Clyde,Hospital,2015,134,,,,,
04,Highland,Care Home,2015,26,,,,,
04,Highland,Home / Non-institution,2015,25,,,,,
04,Highland,Hospital,2015,38,,,,,
04,Lanarkshire,Care Home,2015,44,,,,,
04,Lanarkshire,Home / Non-institution,2015,39,,,,,
04,Lanarkshire,Hospital,2015,88,,,,,
04,Lothian,Care Home,2015,52,,,,,
04,Lothian,Home / Non-institution,2015,34,,,,,
04,Lothian,Hospital,2015,85,,,,,
04,Orkney,Home / Non-institution,2015,2,,,,,
04,Orkney,Hospital,2015,1,,,,,
04,Shetland,Care Home,2015,2,,,,,
04,Shetland,Home / Non-institution,2015,1,,,,,
04,Shetland,Hospital,2015,1,,,,,
04,Tayside,Care Home,2015,34,,,,,
04,Tayside,Home / Non-institution,2015,21,,,,,
04,Tayside,Hospital,2015,59,,,,,
04,Western Isles,Care Home,2015,2,,,,,
04,Western Isles,Home / Non-institution,2015,2,,,,,
04,Western Isles,Hospital,2015,2,,,,,
05,Ayrshire and Arran,Care Home,2015,23,,,,,
05,Ayrshire and Arran,Home / Non-institution,2015,20,,,,,
05,Ayrshire and Arran,Hospital,2015,55,,,,,
05,Borders,Care Home,2015,6,,,,,
05,Borders,Home / Non-institution,2015,8,,,,,
05,Borders,Hospital,2015,25,,,,,
05,Dumfries and Galloway,Care Home,2015,7,,,,,
05,Dumfries and Galloway,Home / Non-institution,2015,11,,,,,
05,Dumfries and Galloway,Hospital,2015,18,,,,,
05,Fife,Care Home,2015,22,,,,,
05,Fife,Home / Non-institution,2015,18,,,,,
05,Fife,Hospital,2015,55,,,,,
05,Forth Valley,Care Home,2015,23,,,,,
05,Forth Valley,Home / Non-institution,2015,12,,,,,
05,Forth Valley,Hospital,2015,40,,,,,
05,Forth Valley,Other institution,2015,1,,,,,
05,Grampian,Care Home,2015,31,,,,,
05,Grampian,Home / Non-institution,2015,27,,,,,
05,Grampian,Hospital,2015,60,,,,,
05,Greater Glasgow and Clyde,Care Home,2015,67,,,,,
05,Greater Glasgow and Clyde,Home / Non-institution,2015,60,,,,,
05,Greater Glasgow and Clyde,Hospital,2015,152,,,,,
05,Highland,Care Home,2015,19,,,,,
05,Highland,Home / Non-institution,2015,23,,,,,
05,Highland,Hospital,2015,36,,,,,
05,Lanarkshire,Care Home,2015,30,,,,,
05,Lanarkshire,Home / Non-institution,2015,28,,,,,
05,Lanarkshire,Hospital,2015,87,,,,,
05,Lothian,Care Home,2015,51,,,,,
05,Lothian,Home / Non-institution,2015,26,,,,,
05,Lothian,Hospital,2015,81,,,,,
05,Orkney,Care Home,2015,4,,,,,
05,Orkney,Home / Non-institution,2015,2,,,,,
05,Orkney,Hospital,2015,3,,,,,
05,Shetland,Care Home,2015,1,,,,,
05,Shetland,Hospital,2015,2,,,,,
05,Tayside,Care Home,2015,31,,,,,
05,Tayside,Home / Non-institution,2015,24,,,,,
05,Tayside,Hospital,2015,53,,,,,
05,Western Isles,Care Home,2015,5,,,,,
05,Western Isles,Home / Non-institution,2015,1,,,,,
05,Western Isles,Hospital,2015,8,,,,,
06,Ayrshire and Arran,Care Home,2015,31,,,,,
06,Ayrshire and Arran,Home / Non-institution,2015,24,,,,,
06,Ayrshire and Arran,Hospital,2015,52,,,,,
06,Borders,Care Home,2015,3,,,,,
06,Borders,Home / Non-institution,2015,4,,,,,
06,Borders,Hospital,2015,20,,,,,
06,Borders,Other institution,2015,1,,,,,
06,Dumfries and Galloway,Care Home,2015,15,,,,,
06,Dumfries and Galloway,Home / Non-institution,2015,7,,,,,
06,Dumfries and Galloway,Hospital,2015,29,,,,,
06,Fife,Care Home,2015,25,,,,,
06,Fife,Home / Non-institution,2015,25,,,,,
06,Fife,Hospital,2015,53,,,,,
06,Forth Valley,Care Home,2015,20,,,,,
06,Forth Valley,Home / Non-institution,2015,18,,,,,
06,Forth Valley,Hospital,2015,36,,,,,
06,Grampian,Care Home,2015,36,,,,,
06,Grampian,Home / Non-institution,2015,24,,,,,
06,Grampian,Hospital,2015,74,,,,,
06,Greater Glasgow and Clyde,Care Home,2015,71,,,,,
06,Greater Glasgow and Clyde,Home / Non-institution,2015,67,,,,,
06,Greater Glasgow and Clyde,Hospital,2015,174,,,,,
06,Highland,Care Home,2015,20,,,,,
06,Highland,Home / Non-institution,2015,26,,,,,
06,Highland,Hospital,2015,39,,,,,
06,Lanarkshire,Care Home,2015,34,,,,,
06,Lanarkshire,Home / Non-institution,2015,46,,,,,
06,Lanarkshire,Hospital,2015,86,,,,,
06,Lothian,Care Home,2015,48,,,,,
06,Lothian,Home / Non-institution,2015,33,,,,,
06,Lothian,Hospital,2015,106,,,,,
06,Orkney,Home / Non-institution,2015,1,,,,,
06,Orkney,Hospital,2015,1,,,,,
06,Shetland,Care Home,2015,3,,,,,
06,Shetland,Home / Non-institution,2015,1,,,,,
06,Shetland,Hospital,2015,1,,,,,
06,Tayside,Care Home,2015,28,,,,,
06,Tayside,Home / Non-institution,2015,29,,,,,
06,Tayside,Hospital,2015,58,,,,,
06,Tayside,Other institution,2015,1,,,,,
06,Western Isles,Care Home,2015,3,,,,,
06,Western Isles,Home / Non-institution,2015,5,,,,,
06,Western Isles,Hospital,2015,3,,,,,
07,Ayrshire and Arran,Care Home,2015,28,,,,,
07,Ayrshire and Arran,Home / Non-institution,2015,35,,,,,
07,Ayrshire and Arran,Hospital,2015,63,,,,,
07,Borders,Care Home,2015,10,,,,,
07,Borders,Home / Non-institution,2015,12,,,,,
07,Borders,Hospital,2015,15,,,,,
07,Dumfries and Galloway,Care Home,2015,11,,,,,
07,Dumfries and Galloway,Home / Non-institution,2015,10,,,,,
07,Dumfries and Galloway,Hospital,2015,22,,,,,
07,Fife,Care Home,2015,27,,,,,
07,Fife,Home / Non-institution,2015,22,,,,,
07,Fife,Hospital,2015,45,,,,,
07,Forth Valley,Care Home,2015,24,,,,,
07,Forth Valley,Home / Non-institution,2015,13,,,,,
07,Forth Valley,Hospital,2015,31,,,,,
07,Grampian,Care Home,2015,38,,,,,
07,Grampian,Home / Non-institution,2015,25,,,,,
07,Grampian,Hospital,2015,67,,,,,
07,Greater Glasgow and Clyde,Care Home,2015,87,,,,,
07,Greater Glasgow and Clyde,Home / Non-institution,2015,67,,,,,
07,Greater Glasgow and Clyde,Hospital,2015,159,,,,,
07,Greater Glasgow and Clyde,Other institution,2015,1,,,,,
07,Highland,Care Home,2015,20,,,,,
07,Highland,Home / Non-institution,2015,23,,,,,
07,Highland,Hospital,2015,33,,,,,
07,Lanarkshire,Care Home,2015,39,,,,,
07,Lanarkshire,Home / Non-institution,2015,32,,,,,
07,Lanarkshire,Hospital,2015,83,,,,,
07,Lothian,Care Home,2015,48,,,,,
07,Lothian,Home / Non-institution,2015,46,,,,,
07,Lothian,Hospital,2015,90,,,,,
07,Orkney,Care Home,2015,1,,,,,
07,Orkney,Home / Non-institution,2015,1,,,,,
07,Orkney,Hospital,2015,1,,,,,
07,Shetland,Care Home,2015,2,,,,,
07,Shetland,Home / Non-institution,2015,5,,,,,
07,Shetland,Hospital,2015,2,,,,,
07,Tayside,Care Home,2015,33,,,,,
07,Tayside,Home / Non-institution,2015,21,,,,,
07,Tayside,Hospital,2015,53,,,,,
07,Western Isles,Care Home,2015,1,,,,,
07,Western Isles,Home / Non-institution,2015,1,,,,,
07,Western Isles,Hospital,2015,9,,,,,
08,Ayrshire and Arran,Care Home,2015,27,,,,,
08,Ayrshire and Arran,Home / Non-institution,2015,19,,,,,
08,Ayrshire and Arran,Hospital,2015,55,,,,,
08,Borders,Care Home,2015,4,,,,,
08,Borders,Home / Non-institution,2015,13,,,,,
08,Borders,Hospital,2015,17,,,,,
08,Dumfries and Galloway,Care Home,2015,8,,,,,
08,Dumfries and Galloway,Home / Non-institution,2015,10,,,,,
08,Dumfries and Galloway,Hospital,2015,20,,,,,
08,Fife,Care Home,2015,14,,,,,
08,Fife,Home / Non-institution,2015,15,,,,,
08,Fife,Hospital,2015,45,,,,,
08,Forth Valley,Care Home,2015,18,,,,,
08,Forth Valley,Home / Non-institution,2015,17,,,,,
08,Forth Valley,Hospital,2015,37,,,,,
08,Grampian,Care Home,2015,21,,,,,
08,Grampian,Home / Non-institution,2015,37,,,,,
08,Grampian,Hospital,2015,54,,,,,
08,Greater Glasgow and Clyde,Care Home,2015,76,,,,,
08,Greater Glasgow and Clyde,Home / Non-institution,2015,70,,,,,
08,Greater Glasgow and Clyde,Hospital,2015,147,,,,,
08,Greater Glasgow and Clyde,Other institution,2015,1,,,,,
08,Highland,Care Home,2015,18,,,,,
08,Highland,Home / Non-institution,2015,21,,,,,
08,Highland,Hospital,2015,34,,,,,
08,Lanarkshire,Care Home,2015,52,,,,,
08,Lanarkshire,Home / Non-institution,2015,33,,,,,
08,Lanarkshire,Hospital,2015,85,,,,,
08,Lothian,Care Home,2015,47,,,,,
08,Lothian,Home / Non-institution,2015,34,,,,,
08,Lothian,Hospital,2015,93,,,,,
08,Orkney,Care Home,2015,1,,,,,
08,Orkney,Hospital,2015,1,,,,,
08,Shetland,Care Home,2015,1,,,,,
08,Shetland,Home / Non-institution,2015,4,,,,,
08,Shetland,Hospital,2015,1,,,,,
08,Tayside,Care Home,2015,28,,,,,
08,Tayside,Home / Non-institution,2015,23,,,,,
08,Tayside,Hospital,2015,67,,,,,
08,Western Isles,Care Home,2015,1,,,,,
08,Western Isles,Home / Non-institution,2015,3,,,,,
09,Ayrshire and Arran,Care Home,2015,23,,,,,
09,Ayrshire and Arran,Home / Non-institution,2015,27,,,,,
09,Ayrshire and Arran,Hospital,2015,49,,,,,
09,Borders,Care Home,2015,10,,,,,
09,Borders,Home / Non-institution,2015,7,,,,,
09,Borders,Hospital,2015,21,,,,,
09,Dumfries and Galloway,Care Home,2015,11,,,,,
09,Dumfries and Galloway,Home / Non-institution,2015,16,,,,,
09,Dumfries and Galloway,Hospital,2015,24,,,,,
09,Fife,Care Home,2015,15,,,,,
09,Fife,Home / Non-institution,2015,26,,,,,
09,Fife,Hospital,2015,43,,,,,
09,Forth Valley,Care Home,2015,10,,,,,
09,Forth Valley,Home / Non-institution,2015,23,,,,,
09,Forth Valley,Hospital,2015,29,,,,,
09,Grampian,Care Home,2015,31,,,,,
09,Grampian,Home / Non-institution,2015,31,,,,,
09,Grampian,Hospital,2015,52,,,,,
09,Greater Glasgow and Clyde,Care Home,2015,68,,,,,
09,Greater Glasgow and Clyde,Home / Non-institution,2015,66,,,,,
09,Greater Glasgow and Clyde,Hospital,2015,162,,,,,
09,Highland,Care Home,2015,16,,,,,
09,Highland,Home / Non-institution,2015,17,,,,,
09,Highland,Hospital,2015,36,,,,,
09,Lanarkshire,Care Home,2015,45,,,,,
09,Lanarkshire,Home / Non-institution,2015,35,,,,,
09,Lanarkshire,Hospital,2015,74,,,,,
09,Lanarkshire,Other institution,2015,2,,,,,
09,Lothian,Care Home,2015,55,,,,,
09,Lothian,Home / Non-institution,2015,37,,,,,
09,Lothian,Hospital,2015,70,,,,,
09,Orkney,Home / Non-institution,2015,2,,,,,
09,Orkney,Hospital,2015,3,,,,,
09,Shetland,Home / Non-institution,2015,1,,,,,
09,Tayside,Care Home,2015,28,,,,,
09,Tayside,Home / Non-institution,2015,33,,,,,
09,Tayside,Hospital,2015,50,,,,,
09,Western Isles,Care Home,2015,4,,,,,
09,Western Isles,Home / Non-institution,2015,2,,,,,
09,Western Isles,Hospital,2015,3,,,,,
10,Ayrshire and Arran,Care Home,2015,32,,,,,
10,Ayrshire and Arran,Home / Non-institution,2015,21,,,,,
10,Ayrshire and Arran,Hospital,2015,54,,,,,
10,Borders,Care Home,2015,14,,,,,
10,Borders,Home / Non-institution,2015,5,,,,,
10,Borders,Hospital,2015,21,,,,,
10,Dumfries and Galloway,Care Home,2015,12,,,,,
10,Dumfries and Galloway,Home / Non-institution,2015,8,,,,,
10,Dumfries and Galloway,Hospital,2015,18,,,,,
10,Fife,Care Home,2015,15,,,,,
10,Fife,Home / Non-institution,2015,19,,,,,
10,Fife,Hospital,2015,42,,,,,
10,Forth Valley,Care Home,2015,19,,,,,
10,Forth Valley,Home / Non-institution,2015,12,,,,,
10,Forth Valley,Hospital,2015,26,,,,,
10,Grampian,Care Home,2015,27,,,,,
10,Grampian,Home / Non-institution,2015,30,,,,,
10,Grampian,Hospital,2015,63,,,,,
10,Grampian,Other institution,2015,1,,,,,
10,Greater Glasgow and Clyde,Care Home,2015,75,,,,,
10,Greater Glasgow and Clyde,Home / Non-institution,2015,77,,,,,
10,Greater Glasgow and Clyde,Hospital,2015,142,,,,,
10,Highland,Care Home,2015,10,,,,,
10,Highland,Home / Non-institution,2015,18,,,,,
10,Highland,Hospital,2015,31,,,,,
10,Lanarkshire,Care Home,2015,38,,,,,
10,Lanarkshire,Home / Non-institution,2015,35,,,,,
10,Lanarkshire,Hospital,2015,62,,,,,
10,Lothian,Care Home,2015,33,,,,,
10,Lothian,Home / Non-institution,2015,33,,,,,
10,Lothian,Hospital,2015,71,,,,,
10,Orkney,Care Home,2015,3,,,,,
10,Orkney,Home / Non-institution,2015,1,,,,,
10,Orkney,Hospital,2015,3,,,,,
10,Shetland,Care Home,2015,1,,,,,
10,Shetland,Home / Non-institution,2015,3,,,,,
10,Shetland,Hospital,2015,1,,,,,
10,Tayside,Care Home,2015,27,,,,,
10,Tayside,Home / Non-institution,2015,26,,,,,
10,Tayside,Hospital,2015,47,,,,,
10,Tayside,Other institution,2015,3,,,,,
10,Western Isles,Care Home,2015,3,,,,,
10,Western Isles,Home / Non-institution,2015,1,,,,,
10,Western Isles,Hospital,2015,3,,,,,
11,Ayrshire and Arran,Care Home,2015,17,,,,,
11,Ayrshire and Arran,Home / Non-institution,2015,21,,,,,
11,Ayrshire and Arran,Hospital,2015,38,,,,,
11,Borders,Care Home,2015,1,,,,,
11,Borders,Home / Non-institution,2015,3,,,,,
11,Borders,Hospital,2015,16,,,,,
11,Dumfries and Galloway,Care Home,2015,7,,,,,
11,Dumfries and Galloway,Home / Non-institution,2015,11,,,,,
11,Dumfries and Galloway,Hospital,2015,28,,,,,
11,Fife,Care Home,2015,20,,,,,
11,Fife,Home / Non-institution,2015,28,,,,,
11,Fife,Hospital,2015,42,,,,,
11,Forth Valley,Care Home,2015,22,,,,,
11,Forth Valley,Home / Non-institution,2015,20,,,,,
11,Forth Valley,Hospital,2015,28,,,,,
11,Grampian,Care Home,2015,34,,,,,
11,Grampian,Home / Non-institution,2015,25,,,,,
11,Grampian,Hospital,2015,59,,,,,
11,Greater Glasgow and Clyde,Care Home,2015,61,,,,,
11,Greater Glasgow and Clyde,Home / Non-institution,2015,47,,,,,
11,Greater Glasgow and Clyde,Hospital,2015,139,,,,,
11,Greater Glasgow and Clyde,Other institution,2015,1,,,,,
11,Highland,Care Home,2015,17,,,,,
11,Highland,Home / Non-institution,2015,16,,,,,
11,Highland,Hospital,2015,41,,,,,
11,Lanarkshire,Care Home,2015,31,,,,,
11,Lanarkshire,Home / Non-institution,2015,44,,,,,
11,Lanarkshire,Hospital,2015,68,,,,,
11,Lothian,Care Home,2015,41,,,,,
11,Lothian,Home / Non-institution,2015,41,,,,,
11,Lothian,Hospital,2015,84,,,,,
11,Orkney,Care Home,2015,1,,,,,
11,Orkney,Home / Non-institution,2015,3,,,,,
11,Orkney,Hospital,2015,3,,,,,
11,Shetland,Care Home,2015,1,,,,,
11,Shetland,Home / Non-institution,2015,1,,,,,
11,Tayside,Care Home,2015,19,,,,,
11,Tayside,Home / Non-institution,2015,24,,,,,
11,Tayside,Hospital,2015,53,,,,,
11,Western Isles,Care Home,2015,1,,,,,
12,Ayrshire and Arran,Care Home,2015,19,,,,,
12,Ayrshire and Arran,Home / Non-institution,2015,25,,,,,
12,Ayrshire and Arran,Hospital,2015,54,,,,,
12,Borders,Care Home,2015,3,,,,,
12,Borders,Home / Non-institution,2015,5,,,,,
12,Borders,Hospital,2015,15,,,,,
12,Dumfries and Galloway,Care Home,2015,14,,,,,
12,Dumfries and Galloway,Home / Non-institution,2015,14,,,,,
12,Dumfries and Galloway,Hospital,2015,27,,,,,
12,Fife,Care Home,2015,18,,,,,
12,Fife,Home / Non-institution,2015,15,,,,,
12,Fife,Hospital,2015,49,,,,,
12,Forth Valley,Care Home,2015,10,,,,,
12,Forth Valley,Home / Non-institution,2015,15,,,,,
12,Forth Valley,Hospital,2015,25,,,,,
12,Grampian,Care Home,2015,30,,,,,
12,Grampian,Home / Non-institution,2015,26,,,,,
12,Grampian,Hospital,2015,57,,,,,
12,Grampian,Other institution,2015,1,,,,,
12,Greater Glasgow and Clyde,Care Home,2015,62,,,,,
12,Greater Glasgow and Clyde,Home / Non-institution,2015,70,,,,,
12,Greater Glasgow and Clyde,Hospital,2015,126,,,,,
12,Highland,Care Home,2015,19,,,,,
12,Highland,Home / Non-institution,2015,25,,,,,
12,Highland,Hospital,2015,35,,,,,
12,Lanarkshire,Care Home,2015,33,,,,,
12,Lanarkshire,Home / Non-institution,2015,41,,,,,
12,Lanarkshire,Hospital,2015,62,,,,,
12,Lothian,Care Home,2015,37,,,,,
12,Lothian,Home / Non-institution,2015,36,,,,,
12,Lothian,Hospital,2015,80,,,,,
12,Orkney,Care Home,2015,1,,,,,
12,Orkney,Home / Non-institution,2015,3,,,,,
12,Orkney,Hospital,2015,3,,,,,
12,Shetland,Care Home,2015,2,,,,,
12,Shetland,Home / Non-institution,2015,3,,,,,
12,Shetland,Hospital,2015,2,,,,,
12,Tayside,Care Home,2015,26,,,,,
12,Tayside,Home / Non-institution,2015,24,,,,,
12,Tayside,Hospital,2015,40,,,,,
12,Tayside,Other institution,2015,1,,,,,
12,Western Isles,Care Home,2015,2,,,,,
12,Western Isles,Home / Non-institution,2015,1,,,,,
12,Western Isles,Hospital,2015,6,,,,,
13,Ayrshire and Arran,Care Home,2015,17,,,,,
13,Ayrshire and Arran,Home / Non-institution,2015,23,,,,,
13,Ayrshire and Arran,Hospital,2015,52,,,,,
13,Ayrshire and Arran,Other institution,2015,1,,,,,
13,Borders,Care Home,2015,5,,,,,
13,Borders,Home / Non-institution,2015,12,,,,,
13,Borders,Hospital,2015,25,,,,,
13,Dumfries and Galloway,Care Home,2015,6,,,,,
13,Dumfries and Galloway,Home / Non-institution,2015,14,,,,,
13,Dumfries and Galloway,Hospital,2015,12,,,,,
13,Fife,Care Home,2015,16,,,,,
13,Fife,Home / Non-institution,2015,16,,,,,
13,Fife,Hospital,2015,42,,,,,
13,Forth Valley,Care Home,2015,17,,,,,
13,Forth Valley,Home / Non-institution,2015,14,,,,,
13,Forth Valley,Hospital,2015,26,,,,,
13,Grampian,Care Home,2015,27,,,,,
13,Grampian,Home / Non-institution,2015,24,,,,,
13,Grampian,Hospital,2015,57,,,,,
13,Grampian,Other institution,2015,1,,,,,
13,Greater Glasgow and Clyde,Care Home,2015,66,,,,,
13,Greater Glasgow and Clyde,Home / Non-institution,2015,50,,,,,
13,Greater Glasgow and Clyde,Hospital,2015,143,,,,,
13,Highland,Care Home,2015,8,,,,,
13,Highland,Home / Non-institution,2015,24,,,,,
13,Highland,Hospital,2015,31,,,,,
13,Lanarkshire,Care Home,2015,48,,,,,
13,Lanarkshire,Home / Non-institution,2015,42,,,,,
13,Lanarkshire,Hospital,2015,74,,,,,
13,Lothian,Care Home,2015,43,,,,,
13,Lothian,Home / Non-institution,2015,35,,,,,
13,Lothian,Hospital,2015,75,,,,,
13,Orkney,Home / Non-institution,2015,1,,,,,
13,Shetland,Care Home,2015,2,,,,,
13,Shetland,Home / Non-institution,2015,1,,,,,
13,Shetland,Hospital,2015,1,,,,,
13,Tayside,Care Home,2015,21,,,,,
13,Tayside,Home / Non-institution,2015,39,,,,,
13,Tayside,Hospital,2015,41,,,,,
13,Western Isles,Home / Non-institution,2015,4,,,,,
13,Western Isles,Hospital,2015,3,,,,,
14,Ayrshire and Arran,Care Home,2015,18,,,,,
14,Ayrshire and Arran,Home / Non-institution,2015,25,,,,,
